"","studyName","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","speciesMatched","family","pft","growingCondition","status","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","h.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","count"
"20090","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00430084034276443,NA,NA,NA,5.3,1.7,NA,0.074,1.3,NA,3.6,0.52,NA,NA,2.78,15.15,15.67,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
"20091","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0036316811075498,NA,NA,NA,7.8,4.3,NA,0.068,1.3,NA,3.5,0.37,NA,NA,1.47,9.72,10.09,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
"20092","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00132025431267111,NA,NA,NA,6.3,NA,NA,0.041,1.3,NA,NA,NA,NA,NA,NA,NA,3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
"20093","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00352565235549115,NA,NA,NA,9.3,NA,NA,0.067,1.3,NA,NA,NA,NA,NA,NA,NA,13.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
"20094","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00580880481648753,NA,NA,NA,10.9,NA,NA,0.086,1.3,NA,NA,NA,NA,NA,NA,NA,32.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
"20095","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00255175863287831,NA,NA,NA,6.2,NA,NA,0.057,1.3,NA,NA,NA,NA,NA,NA,NA,5.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
"20096","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00567450173054657,NA,NA,NA,10.6,NA,NA,0.085,1.3,NA,NA,NA,NA,NA,NA,NA,22.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
"20097","Williams2005","Katherine",-14.7,132.7,"Sav",950,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0134782178820636,NA,NA,NA,9.3,NA,NA,0.131,1.3,NA,NA,NA,NA,NA,NA,NA,60.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
"20098","Williams2005","Katherine",-14.7,132.7,"Sav",950,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0237787147950211,NA,NA,NA,13.7,NA,NA,0.174,1.3,NA,NA,NA,NA,NA,NA,NA,109.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
"20099","Williams2005","Katherine",-14.7,132.7,"Sav",950,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0188691908756237,NA,NA,NA,11.8,NA,NA,0.155,1.3,NA,NA,NA,NA,NA,NA,NA,121.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
