"","Specie","Long","Lat","LA.SA","Sample","Height","Alpha","MI","References","X","X.1","LA.SA..m2.m.2.","X.2","count","pft"
"111","Eucalyptus globulus",143.79,-37.69,3.83,"trunk",NA,0.55,0.69,"Forrester et al. 2010a",NA,NA,6756.75675675676,NA,182,"tall_sclerophyll_resprout"
"112","Eucalyptus globulus",143.79,-37.69,3.86,"trunk",NA,0.55,0.69,"Forrester et al. 2010a",NA,NA,7194.24460431656,NA,182,"tall_sclerophyll_resprout"
"113","Eucalyptus globulus",143.79,-37.69,3.84,"trunk",NA,0.55,0.69,"Forrester et al. 2010a",NA,NA,6944.44444444445,NA,182,"tall_sclerophyll_resprout"
"114","Eucalyptus globulus",143.79,-37.69,3.86,"trunk",NA,0.55,0.69,"Forrester et al. 2010a",NA,NA,7194.24460431656,NA,182,"tall_sclerophyll_resprout"
"115","Eucalyptus globulus",143.64,-37.61,3.62,"trunk",NA,0.54,0.67,"Forrester et al. 2010a",NA,NA,4149.377593361,NA,182,"tall_sclerophyll_resprout"
"116","Eucalyptus globulus",143.64,-37.61,3.63,"trunk",NA,0.54,0.67,"Forrester et al. 2010a",NA,NA,4310.34482758621,NA,182,"tall_sclerophyll_resprout"
"117","Eucalyptus globulus",143.64,-37.61,3.59,"trunk",NA,0.54,0.67,"Forrester et al. 2010a",NA,NA,3921.56862745099,NA,182,"tall_sclerophyll_resprout"
"118","Eucalyptus globulus",143.79,-37.69,3.49,"trunk",NA,0.55,0.69,"Forrester et al. 2010a",NA,NA,3095.97523219814,NA,182,"tall_sclerophyll_resprout"
"119","Eucalyptus globulus",143.79,-37.69,3.54,"trunk",NA,0.55,0.69,"Forrester et al. 2010a",NA,NA,3484.32055749129,NA,182,"tall_sclerophyll_resprout"
"120","Eucalyptus globulus",143.79,-37.69,3.56,"trunk",NA,0.55,0.69,"Forrester et al. 2010a",NA,NA,3623.1884057971,NA,182,"tall_sclerophyll_resprout"
"121","Eucalyptus globulus",143.79,-37.69,3.58,"trunk",NA,0.55,0.69,"Forrester et al. 2010a",NA,NA,3802.28136882129,NA,182,"tall_sclerophyll_resprout"
"122","Eucalyptus globulus",143.79,-37.69,3.57,"trunk",NA,0.55,0.69,"Forrester et al. 2010a",NA,NA,3703.7037037037,NA,182,"tall_sclerophyll_resprout"
"123","Eucalyptus globulus",143.64,-37.61,3.44,"trunk",NA,0.54,0.67,"Forrester et al. 2010a",NA,NA,2754.82093663912,NA,182,"tall_sclerophyll_resprout"
"124","Eucalyptus globulus",143.64,-37.61,3.5,"trunk",NA,0.54,0.67,"Forrester et al. 2010a",NA,NA,3194.88817891374,NA,182,"tall_sclerophyll_resprout"
"125","Eucalyptus globulus",143.64,-37.61,3.53,"trunk",NA,0.54,0.67,"Forrester et al. 2010a",NA,NA,3367.00336700337,NA,182,"tall_sclerophyll_resprout"
"126","Eucalyptus globulus",143.79,-37.69,3.5,"trunk",NA,0.55,0.69,"Forrester et al. 2010a",NA,NA,3194.88817891374,NA,182,"tall_sclerophyll_resprout"
"127","Eucalyptus globulus",143.79,-37.69,3.49,"trunk",NA,0.55,0.69,"Forrester et al. 2010a",NA,NA,3095.97523219814,NA,182,"tall_sclerophyll_resprout"
"128","Eucalyptus globulus",143.79,-37.69,3.59,"trunk",NA,0.55,0.69,"Forrester et al. 2010a",NA,NA,3846.15384615385,NA,182,"tall_sclerophyll_resprout"
"129","Eucalyptus globulus",143.79,-37.69,3.54,"trunk",NA,0.55,0.69,"Forrester et al. 2010a",NA,NA,3496.5034965035,NA,182,"tall_sclerophyll_resprout"
"130","Eucalyptus globulus",143.79,-37.69,3.46,"trunk",NA,0.55,0.69,"Forrester et al. 2010a",NA,NA,2857.14285714286,NA,182,"tall_sclerophyll_resprout"
"131","Eucalyptus globulus",144.03,-37.61,3.52,"trunk",NA,0.59,0.76,"Forrester et al. 2010a",NA,NA,3344.48160535118,NA,182,"tall_sclerophyll_resprout"
"132","Eucalyptus globulus",144.03,-37.61,3.47,"trunk",NA,0.59,0.76,"Forrester et al. 2010a",NA,NA,2976.19047619048,NA,182,"tall_sclerophyll_resprout"
"133","Eucalyptus globulus",144.03,-37.61,3.48,"trunk",NA,0.59,0.76,"Forrester et al. 2010a",NA,NA,3030.30303030303,NA,182,"tall_sclerophyll_resprout"
"146","Eucalyptus globulus",149.02,-37.58,3.28,"trunk",NA,0.69,0.68,"Forrester et al. 2010b",NA,NA,1893.9393939394,NA,182,"tall_sclerophyll_resprout"
"147","Eucalyptus globulus",149.02,-37.58,3.59,"trunk",NA,0.69,0.68,"Forrester et al. 2010b",NA,NA,3891.05058365759,NA,182,"tall_sclerophyll_resprout"
"148","Eucalyptus globulus",149.02,-37.58,3.35,"trunk",NA,0.69,0.68,"Forrester et al. 2010b",NA,NA,2262.44343891403,NA,182,"tall_sclerophyll_resprout"
"149","Eucalyptus globulus",149.02,-37.58,3.16,"trunk",NA,0.71,0.94,"Forrester et al. 2010b",NA,NA,1457.72594752187,NA,182,"tall_sclerophyll_resprout"
"150","Eucalyptus globulus",149.02,-37.58,3.34,"trunk",NA,0.71,0.94,"Forrester et al. 2010b",NA,NA,2178.64923747277,NA,182,"tall_sclerophyll_resprout"
"151","Eucalyptus globulus",149.02,-37.58,3.36,"trunk",NA,0.71,0.94,"Forrester et al. 2010b",NA,NA,2267.57369614513,NA,182,"tall_sclerophyll_resprout"
"152","Eucalyptus globulus",149.02,-37.58,3.31,"trunk",NA,0.69,0.68,"Forrester et al. 2010b",NA,NA,2053.38809034908,NA,182,"tall_sclerophyll_resprout"
