Specie,Long,Lat,LA:SA,Sample,Height,Alpha,MI,References,,,LA:SA (m2 m-2),
Acacia aneura ,133.32,-22.03,3.23,branch,,0.16,0.20,O'Grady et al. 2009,,,1694.915254237290,
Acacia aneura ,133.32,-22.03,3.01,branch,,0.16,0.20,O'Grady et al. 2009,,,1020.408163265310,
Corymbia opaca ,133.85,-21.90,3.92,branch,,0.12,0.16,O'Grady et al. 2009,,,8333.333333333340,
Corymbia opaca ,133.85,-21.90,3.46,branch,,0.12,0.16,O'Grady et al. 2009,,,2857.142857142860,
Eucalyptus camaldulensis ,133.32,-22.03,3.66,branch,,0.16,0.20,O'Grady et al. 2009,,,4545.454545454550,
Eucalyptus camaldulensis ,133.32,-22.03,3.54,branch,,0.16,0.20,O'Grady et al. 2009,,,3448.275862068970,
Eucalyptus victrix ,133.85,-21.90,3.72,branch,,0.12,0.16,O'Grady et al. 2009,,,5263.157894736840,
Eucalyptus victrix ,133.85,-21.90,3.59,branch,,0.12,0.16,O'Grady et al. 2009,,,3846.153846153850,
Eucalyptus nitens,146.12,-41.30,3.56,trunk,,0.83,1.12,Pinkard and Neilsen 2003,,,3663.003663003660,
Eucalyptus nitens,146.12,-41.30,3.41,trunk,,0.83,1.12,Pinkard and Neilsen 2003,,,2583.979328165380,
Eucalyptus miniata,130.88,-12.42,3.53,branch,,0.52,1.15,Prior and Eamus 2000,,,3401.360544217690,
Eucalyptus miniata,130.88,-12.42,3.46,branch,,0.52,1.15,Prior and Eamus 2000,,,2898.550724637680,
Eucalyptus tetrodonta,130.88,-12.42,3.77,branch,,0.51,0.80,Prior and Eamus 2000,,,5917.159763313610,
Eucalyptus tetrodonta,130.88,-12.42,3.76,branch,,0.52,1.15,Prior and Eamus 2000,,,5714.285714285720,
Eucalyptus tetrodonta ,130.88,-12.42,3.79,branch,,0.52,1.15,Prior and Eamus 2000,,,6172.839506172850,
Eucalyptus sieberi,149.58,-37.48,4.02,trunk,,0.61,0.64,Roberts et al. 2001,,,10449.320794148400,
Eucalyptus sieberi,149.58,-37.48,3.68,trunk,,0.61,0.64,Roberts et al. 2001,,,4807.692307692310,
Eucalyptus sieberi,149.58,-37.48,3.57,trunk,,0.61,0.64,Roberts et al. 2001,,,3690.036900369010,
Eucalyptus sieberi,149.58,-37.48,3.14,trunk,,0.61,0.64,Roberts et al. 2001,,,1367.989056087550,
Eucalyptus sieberi,149.58,-37.48,4.15,trunk,,0.61,0.64,Roberts et al. 2001,,,14224.751066856400,
Eucalyptus sieberi,149.58,-37.48,3.90,trunk,,0.61,0.64,Roberts et al. 2001,,,7874.015748031510,
Eucalyptus sieberi,149.58,-37.48,3.51,trunk,,0.61,0.64,Roberts et al. 2001,,,3225.806451612910,
Angophora bakeri,150.78,-33.66,3.66,branch,,0.38,0.37,Taylor and Eamus 2008,,,4608.294930875580,
Angophora costata,151.32,-33.19,3.68,branch,,0.61,0.64,Taylor and Eamus 2008,,,4807.692307692310,
Angophora hispida,151.06,-34.10,3.90,branch,,0.48,0.56,Taylor and Eamus 2008,,,7874.015748031510,
Callitris glaucophylla    ,146.93,-32.81,3.27,branch,,0.16,0.15,Taylor and Eamus 2008,,,1883.239171374770,
Eucalyptus haemostoma ,151.06,-34.10,3.82,branch,,0.48,0.56,Taylor and Eamus 2008,,,6666.666666666670,
Eucalyptus haemostoma ,151.32,-33.19,3.82,branch,,0.61,0.64,Taylor and Eamus 2008,,,6535.947712418310,
Eucalyptus populnea,146.93,-32.81,3.62,branch,,0.16,0.15,Taylor and Eamus 2008,,,4201.680672268920,
Eucalyptus sclerophylla,150.78,-33.66,3.76,branch,,0.38,0.37,Taylor and Eamus 2008,,,5780.346820809250,
Pinus radiata,145.43,-37.78,3.38,trunk,23.98,0.77,0.82,Teskey and Sheriff 1996,,,2409.638554216870,
Acacia dealbata,145.63,-37.57,3.26,trunk,,0.85,1.68,Vertessy et al. 1995 ,,,1831.501831501830,
Eucalyptus regnans,145.63,-37.57,3.43,trunk,,0.85,1.68,Vertessy et al. 1995 ,,,2680.965147453080,
Eucalyptus regnans ,145.63,-37.57,3.61,trunk,65,0.78,1.50,Vertessy et al. 1997,,,4115.226337448560,
Eucalyptus regnans ,145.63,-37.57,3.58,trunk,55.23,0.78,1.50,Vertessy et al. 1997,,,3773.584905660380,
Eucalyptus regnans ,145.63,-37.57,3.29,trunk,,0.69,0.74,Vertessy et al. 2001,,,1930.501930501930,
Pomaderris aspera ,145.63,-37.57,3.57,trunk,,0.69,0.74,Vertessy et al. 2001,,,3690.036900369010,
Acacia colletioides ,146.15,-32.97,2.15,branch,,0.33,0.38,Westoby and Wright 2003,,,140.252454417952,
Acacia havilandii ,146.15,-32.97,2.43,branch,,0.33,0.38,Westoby and Wright 2003,,,270.270270270270,
Acacia wilhelmiana ,146.15,-32.97,2.48,branch,,0.33,0.38,Westoby and Wright 2003,,,303.951367781155,
Bertya cunninghamii ,146.15,-32.97,2.22,branch,,0.33,0.38,Westoby and Wright 2003,,,167.224080267559,
Beyeria opaca ,146.15,-32.97,2.54,branch,,0.33,0.38,Westoby and Wright 2003,,,343.642611683849,
Cassinia laevis ,146.15,-32.97,2.85,branch,,0.33,0.38,Westoby and Wright 2003,,,704.225352112677,
Eremophila deserti ,146.15,-32.97,3.10,branch,,0.33,0.38,Westoby and Wright 2003,,,1264.222503160560,
Eucalyptus dumosa ,146.15,-32.97,3.25,branch,,0.33,0.38,Westoby and Wright 2003,,,1785.714285714290,
Eucalyptus socialis ,146.15,-32.97,3.22,branch,,0.33,0.38,Westoby and Wright 2003,,,1669.449081803010,
Eutaxia microphylla ,146.15,-32.97,2.42,branch,,0.33,0.38,Westoby and Wright 2003,,,265.251989389920,
Olearia oswaldii ,146.15,-32.97,2.59,branch,,0.33,0.38,Westoby and Wright 2003,,,390.625000000000,
Olearia pimelioides ,146.15,-32.97,2.56,branch,,0.33,0.38,Westoby and Wright 2003,,,366.300366300366,
Philotheca difformis ,146.15,-32.97,2.09,branch,,0.33,0.38,Westoby and Wright 2003,,,121.951219512195,
Santalum acuminatum ,146.15,-32.97,2.88,branch,,0.33,0.38,Westoby and Wright 2003,,,751.879699248120,
Acacia myrtifolia ,151.14,-33.69,3.02,branch,,0.75,1.09,Westoby and Wright 2003,,,1053.740779768180,
Acacia suaveolens ,151.14,-33.69,3.06,branch,,0.75,1.09,Westoby and Wright 2003,,,1153.402537485580,
Angophora hispida ,151.14,-33.69,3.30,branch,,0.75,1.09,Westoby and Wright 2003,,,2004.008016032070,
Baeckea brevifolia,151.14,-33.69,2.30,branch,,0.75,1.09,Westoby and Wright 2003,,,197.628458498024,
Banksia oblongifolia ,151.14,-33.69,3.20,branch,,0.75,1.09,Westoby and Wright 2003,,,1582.278481012660,
Banksia spinulosa,151.14,-33.69,3.21,branch,,0.75,1.09,Westoby and Wright 2003,,,1605.136436597110,
Boronia pinnata,151.14,-33.69,3.12,branch,,0.75,1.09,Westoby and Wright 2003,,,1319.261213720320,
Bossiaea obcordata ,151.14,-33.69,2.70,branch,,0.75,1.09,Westoby and Wright 2003,,,500.000000000000,
Corymbia gummifera ,151.14,-33.69,3.26,branch,,0.75,1.09,Westoby and Wright 2003,,,1818.181818181820,
Dillwynia retorta,151.14,-33.69,3.02,branch,,0.75,1.09,Westoby and Wright 2003,,,1053.740779768180,
Epacris microphylla ,151.14,-33.69,3.06,branch,,0.75,1.09,Westoby and Wright 2003,,,1137.656427758820,
Epacris pulchella ,151.14,-33.69,2.74,branch,,0.75,1.09,Westoby and Wright 2003,,,555.555555555556,
Eucalyptus capitellata ,151.14,-33.69,3.42,branch,,0.75,1.09,Westoby and Wright 2003,,,2645.502645502650,
Eucalyptus haemostoma ,151.14,-33.69,3.31,branch,,0.75,1.09,Westoby and Wright 2003,,,2053.388090349080,
Gompholobium glabratum ,151.14,-33.69,2.72,branch,,0.75,1.09,Westoby and Wright 2003,,,529.100529100529,
Grevillea speciosa ,151.14,-33.69,2.95,branch,,0.75,1.09,Westoby and Wright 2003,,,892.857142857143,
Hakea dactyloides,151.14,-33.69,3.26,branch,,0.75,1.09,Westoby and Wright 2003,,,1805.054151624550,
Hakea teretifolia ,151.14,-33.69,2.84,branch,,0.75,1.09,Westoby and Wright 2003,,,684.931506849315,
Hibbertia bracteata ,151.14,-33.69,3.09,branch,,0.75,1.09,Westoby and Wright 2003,,,1222.493887530560,
Isopogon anemonifolius ,151.14,-33.69,3.02,branch,,0.75,1.09,Westoby and Wright 2003,,,1049.317943336830,
Lambertia formosa ,151.14,-33.69,2.89,branch,,0.75,1.09,Westoby and Wright 2003,,,781.250000000000,
Leptospermum squarrosum,151.14,-33.69,3.00,branch,,0.75,1.09,Westoby and Wright 2003,,,1008.064516129030,
Leptospermum trinervium ,151.14,-33.69,3.00,branch,,0.75,1.09,Westoby and Wright 2003,,,990.099009900991,
Leucopogon esquamatus ,151.14,-33.69,2.89,branch,,0.75,1.09,Westoby and Wright 2003,,,769.230769230770,
Leucopogon microphyllus ,151.14,-33.69,2.38,branch,,0.75,1.09,Westoby and Wright 2003,,,239.808153477218,
Micrantheum ericoides ,151.14,-33.69,3.06,branch,,0.75,1.09,Westoby and Wright 2003,,,1135.073779795690,
Persoonia levis ,151.14,-33.69,3.42,branch,,0.75,1.09,Westoby and Wright 2003,,,2610.966057441260,
Persoonia pinifolia ,151.14,-33.69,3.40,branch,,0.75,1.09,Westoby and Wright 2003,,,2500.000000000000,
Petrophile pulchella ,151.14,-33.69,3.28,branch,,0.75,1.09,Westoby and Wright 2003,,,1890.359168241970,
Phyllanthus hirtellus ,151.14,-33.69,2.48,branch,,0.75,1.09,Westoby and Wright 2003,,,303.951367781155,
Phyllota phylicoides ,151.14,-33.69,2.94,branch,,0.75,1.09,Westoby and Wright 2003,,,869.565217391304,
Pultenaea elliptica,151.14,-33.69,3.36,branch,,0.75,1.09,Westoby and Wright 2003,,,2309.468822170900,
Pultenaea stipularis ,151.14,-33.69,3.08,branch,,0.75,1.09,Westoby and Wright 2003,,,1210.653753026630,
Acacia doratoxylon ,146.15,-32.97,3.60,branch,,0.33,0.38,Westoby and Wright 2003,,,3937.007874015750,
Brachychiton populneus ,146.15,-32.97,3.18,branch,,0.33,0.38,Westoby and Wright 2003,,,1526.717557251910,
Dodonaea viscosa spathulata ,146.15,-32.97,3.32,branch,,0.33,0.38,Westoby and Wright 2003,,,2087.682672233820,
Eremophila glabra ,146.15,-32.97,2.89,branch,,0.33,0.38,Westoby and Wright 2003,,,781.250000000000,
Eremophila longifolia ,146.15,-32.97,3.21,branch,,0.33,0.38,Westoby and Wright 2003,,,1620.745542949760,
Eucalyptus intertexta ,146.15,-32.97,3.24,branch,,0.33,0.38,Westoby and Wright 2003,,,1748.251748251750,
Geijera parviflora,146.15,-32.97,3.36,branch,,0.33,0.38,Westoby and Wright 2003,,,2293.577981651380,
Melaleuca uncinata ,146.15,-32.97,2.63,branch,,0.33,0.38,Westoby and Wright 2003,,,421.940928270042,
Philotheca difformis ,146.15,-32.97,2.28,branch,,0.33,0.38,Westoby and Wright 2003,,,191.938579654511,
Pimelea microcephala ,146.15,-32.97,2.98,branch,,0.33,0.38,Westoby and Wright 2003,,,961.538461538463,
Senna artemisioides ,146.15,-32.97,2.93,branch,,0.33,0.38,Westoby and Wright 2003,,,847.457627118645,
Eucalyptus globulus ,147.60,-42.82,3.77,trunk,,,,White et al. 1998,,,5900.000000000010,
Eucalyptus globulus ,147.60,-42.82,3.77,trunk,,,,White et al. 1998,,,5900.000000000010,
Eucalyptus globulus ,147.60,-42.82,3.87,trunk,,,,White et al. 1998,,,7400.000000000010,
Eucalyptus globulus ,147.60,-42.82,3.76,trunk,,,,White et al. 1998,,,5800.000000000010,
Eucalyptus globulus ,147.60,-42.82,3.92,trunk,,,,White et al. 1998,,,8300.000000000010,
Eucalyptus globulus ,147.60,-42.82,3.70,trunk,,,,White et al. 1998,,,5000.000000000000,
Eucalyptus nitens ,147.60,-42.82,3.63,trunk,,,,White et al. 1998,,,4300.000000000010,
Eucalyptus nitens ,147.60,-42.82,3.68,trunk,,,,White et al. 1998,,,4800.000000000000,
Eucalyptus nitens ,147.60,-42.82,3.72,trunk,,,,White et al. 1998,,,5300.000000000010,
Eucalyptus nitens ,147.60,-42.82,3.65,trunk,,,,White et al. 1998,,,4500.000000000000,
Eucalyptus nitens ,147.60,-42.82,3.86,trunk,,,,White et al. 1998,,,7300.000000000000,
Eucalyptus nitens ,147.60,-42.82,3.65,trunk,,,,White et al. 1998,,,4500.000000000000,
Eucalyptus camaldulensis,145.93,-36.60,3.70,trunk,,0.25,0.18,Yunusa et al. 2010,,,5050.505050505050,
Eucalyptus camaldulensis,145.93,-36.60,4.20,trunk,,0.25,0.18,Yunusa et al. 2010,,,15748.031496063000,
Eucalyptus camaldulensis,145.93,-36.60,3.74,trunk,,0.35,0.42,Yunusa et al. 2010,,,5434.782608695660,
Eucalyptus camaldulensis,145.93,-36.60,4.12,trunk,,0.35,0.42,Yunusa et al. 2010,,,13175.230566534900,
Eucalyptus crebra,150.12,-31.08,3.22,trunk,,0.24,0.18,Zeppel and Eamus 2008 ,,,1666.666666666670,
Eucalyptus crebra,150.12,-31.08,3.22,trunk,,0.33,0.35,Zeppel and Eamus 2008 ,,,1666.666666666670,
Eucalyptus crebra,150.12,-31.08,3.40,trunk,,0.39,0.48,Zeppel and Eamus 2008 ,,,2500.000000000000,
Eucalyptus crebra,150.12,-31.08,2.94,trunk,,0.24,0.18,Zeppel and Eamus 2008 ,,,869.565217391304,
Eucalyptus crebra,150.12,-31.08,3.15,trunk,,0.33,0.35,Zeppel and Eamus 2008 ,,,1428.571428571430,
Eucalyptus crebra,150.12,-31.08,3.35,trunk,,0.39,0.48,Zeppel and Eamus 2008 ,,,2222.222222222220,
Alphitonia whitei,145.63,-17.12,3.80,branch,,0.76,1.36,This study,,,6289.308176100640,
Alstonia muelleriana,145.63,-17.12,4.00,branch,19,0.76,1.36,This study,,,10000.000000000000,
Argyrodedron trifoliolatum,145.63,-17.12,4.02,branch,19,0.76,1.36,This study,,,10586.532625506500,
Cardwellia sublimis,145.63,-17.12,3.86,branch,,0.76,1.36,This study,,,7194.244604316560,
Ceratopelatum sucirubrum,145.63,-17.12,3.82,branch,14,0.76,1.36,This study,,,6535.947712418310,
Cryptocarya mackinnoniana,145.63,-17.12,3.87,branch,,0.76,1.36,This study,,,7407.407407407410,
Doryphora aromatica,145.63,-17.12,3.54,branch,19,0.76,1.36,This study,,,3436.426116838490,
Flindersia brayleyana,145.63,-17.12,3.83,branch,,0.76,1.36,This study,,,6802.721088435380,
Gillbeea adenopetala,145.63,-17.12,3.86,branch,,0.76,1.36,This study,,,7194.244604316560,
Syzygium johnsonii,145.63,-17.12,3.65,branch,13,0.76,1.36,This study,,,4504.504504504510,
Eucalyptus globulus ,147.50,-42.82,3.67,trunk,,,,O'Glady et al. 2006,,,4716.981132075470,
Eucalyptus globulus ,147.50,-42.82,3.75,trunk,,,,O'Glady et al. 2006,,,5649.717514124300,
Eucalyptus globulus ,147.50,-42.82,3.73,trunk,,,,O'Glady et al. 2006,,,5319.148936170220,
Eucalyptus globulus ,147.50,-42.82,3.93,trunk,,,,O'Glady et al. 2006,,,8474.576271186440,
Eucalyptus nitens ,146.68,-38.38,3.50,trunk,,0.76,1.45,Forrester et al. 2012,,,3144.654088050320,
Eucalyptus nitens ,146.68,-38.38,3.54,trunk,,0.76,1.45,Forrester et al. 2012,,,3496.503496503500,
Eucalyptus nitens ,146.68,-38.38,3.60,trunk,,0.71,0.99,Forrester et al. 2012,,,4000.000000000010,
Eucalyptus nitens ,146.68,-38.38,3.58,trunk,,0.71,0.99,Forrester et al. 2012,,,3831.417624521080,
Eucalyptus nitens ,146.68,-38.38,3.61,trunk,,0.71,0.99,Forrester et al. 2012,,,4032.258064516130,
Eucalyptus nitens ,146.68,-38.38,3.61,trunk,,0.71,0.99,Forrester et al. 2012,,,4081.632653061220,
Eucalyptus nitens ,146.68,-38.38,3.57,trunk,,0.76,1.45,Forrester et al. 2012,,,3731.343283582090,
Eucalyptus nitens ,146.68,-38.38,3.63,trunk,,0.76,1.45,Forrester et al. 2012,,,4273.504273504280,
Eucalyptus nitens ,146.68,-38.38,3.73,trunk,,0.71,0.99,Forrester et al. 2012,,,5347.593582887700,
Eucalyptus nitens ,146.68,-38.38,3.71,trunk,,0.71,0.99,Forrester et al. 2012,,,5128.205128205140,
Eucalyptus nitens ,146.68,-38.38,3.71,trunk,,0.71,0.99,Forrester et al. 2012,,,5154.639175257740,
Eucalyptus nitens ,146.68,-38.38,3.69,trunk,,0.71,0.99,Forrester et al. 2012,,,4878.048780487810,
Eucalyptus nitens ,146.68,-38.38,3.74,trunk,,0.71,0.99,Forrester et al. 2012,,,5464.480874316950,
Eucalyptus nitens ,146.68,-38.38,3.72,trunk,,0.71,0.99,Forrester et al. 2012,,,5208.333333333340,
Eucalyptus nitens ,146.68,-38.38,3.71,trunk,,0.71,0.99,Forrester et al. 2012,,,5102.040816326530,
Eucalyptus kochii ,118.09,-34.60,3.27,trunk,2.23,0.82,0.82,Brooksbank et al. (submitted),,,1851.851851851850,
Eucalyptus loxophleba ,118.09,-34.60,3.55,trunk,3.94,0.82,0.82,Brooksbank et al. (submitted),,,3571.428571428580,
Eucalyptus polybractea,118.09,-34.60,3.47,trunk,4.28,0.82,0.82,Brooksbank et al. (submitted),,,2941.176470588240,
Acacia colletioides,151.15,-33.38,2.15,branch,2.6,0.44,0.50,Pickup et al. 2005,,,141.643059490085,
Acacia havilandiorum,151.15,-33.38,2.43,branch,4,0.44,0.50,Pickup et al. 2005,,,267.379679144385,
Acacia wilhelmiana,151.15,-33.38,2.48,branch,2.3,0.44,0.50,Pickup et al. 2005,,,303.951367781155,
Bertya cunninghamii,151.15,-33.38,2.22,branch,2.1,0.44,0.50,Pickup et al. 2005,,,164.744645799012,
Beyeria opaca,151.15,-33.38,2.47,branch,0.7,0.44,0.50,Pickup et al. 2005,,,294.985250737463,
Cassinia laevis,151.15,-33.38,2.85,branch,2.4,0.44,0.50,Pickup et al. 2005,,,704.225352112677,
Eremophila deserti,151.15,-33.38,3.11,branch,1.2,0.44,0.50,Pickup et al. 2005,,,1282.051282051280,
Eucalyptus dumosa,151.15,-33.38,3.25,branch,6,0.44,0.50,Pickup et al. 2005,,,1776.198934280640,
Eucalyptus socialis,151.15,-33.38,3.22,branch,8.3,0.44,0.50,Pickup et al. 2005,,,1677.852348993290,
Eutaxia microphylla,151.15,-33.38,2.33,branch,0.7,0.44,0.50,Pickup et al. 2005,,,212.314225053079,
Olearia decurrens,151.15,-33.38,2.61,branch,1.8,0.44,0.50,Pickup et al. 2005,,,408.163265306123,
Olearia pimelioides,151.15,-33.38,2.54,branch,1.2,0.44,0.50,Pickup et al. 2005,,,344.827586206897,
Philotheca difformis,151.15,-33.38,2.13,branch,1.8,0.44,0.50,Pickup et al. 2005,,,134.589502018843,
Santalum acuminatum,151.15,-33.38,2.87,branch,6,0.44,0.50,Pickup et al. 2005,,,740.740740740741,
Acacia doratoxylon,151.32,-33.38,3.59,branch,12,0.72,0.87,Pickup et al. 2005,,,3875.968992248060,
Brachychiton populneus,151.32,-33.38,3.19,branch,8.3,0.72,0.87,Pickup et al. 2005,,,1531.393568147010,
Dodonaea viscosa ,151.32,-33.38,3.30,branch,4,0.72,0.87,Pickup et al. 2005,,,1976.284584980240,
Eremophila glabra,151.32,-33.38,2.90,branch,1.9,0.72,0.87,Pickup et al. 2005,,,787.401574803151,
Eremophila longifolia,151.32,-33.38,3.21,branch,3.5,0.72,0.87,Pickup et al. 2005,,,1618.122977346280,
Eucalyptus intertexta,151.32,-33.38,3.24,branch,16.9,0.72,0.87,Pickup et al. 2005,,,1745.200698080280,
Geijera parviflora,151.32,-33.38,3.36,branch,10.3,0.72,0.87,Pickup et al. 2005,,,2314.814814814820,
Melaleuca uncinata,151.32,-33.38,2.62,branch,6.5,0.72,0.87,Pickup et al. 2005,,,414.937759336100,
Philotheca difformis,151.32,-33.38,2.26,branch,2,0.72,0.87,Pickup et al. 2005,,,182.481751824818,
Pimelea microcephala,151.32,-33.38,2.97,branch,3,0.72,0.87,Pickup et al. 2005,,,943.396226415095,
Senna artemisioides,151.32,-33.38,2.94,branch,2.7,0.72,0.87,Pickup et al. 2005,,,862.068965517242,
Acacia floribunda,151.29,-33.58,3.96,branch,,0.59,0.56,"Zanne (2007, unpublished)",,,9090.909090909110,
Astrotricha floccosa,151.29,-33.58,3.78,branch,,0.59,0.56,"Zanne (2007, unpublished)",,,6060.606060606070,
Lasiopetalum ferrugineum,151.29,-33.58,3.39,branch,,0.59,0.56,"Zanne (2007, unpublished)",,,2444.987775061130,
Lomatia silaifolia,151.29,-33.58,3.63,branch,,0.59,0.56,"Zanne (2007, unpublished)",,,4237.288135593220,
Persoonia linearis,151.29,-33.58,3.73,branch,,0.59,0.56,"Zanne (2007, unpublished)",,,5376.344086021510,
Pultenea flexilis,151.29,-33.58,3.74,branch,,0.59,0.56,"Zanne (2007, unpublished)",,,5434.782608695660,
Synoum glandulosum,151.29,-33.58,3.56,branch,,0.59,0.56,"Zanne (2007, unpublished)",,,3649.635036496350,
Syncarpia glomulifera,151.29,-33.58,3.80,branch,,0.59,0.56,"Zanne (2007, unpublished)",,,6289.308176100640,
Acacia suaveolens,151.14,-33.69,3.25,branch,,0.59,0.62,"Zanne (2007, unpublished)",,,1795.332136445240,
Boronia ledifolia,151.14,-33.69,3.07,branch,,0.59,0.62,"Zanne (2007, unpublished)",,,1168.224299065420,
Eriostemon australasius,151.14,-33.69,3.36,branch,,0.59,0.62,"Zanne (2007, unpublished)",,,2298.850574712640,
Hakea dactyloides,151.14,-33.69,3.51,branch,,0.59,0.62,"Zanne (2007, unpublished)",,,3267.973856209150,
Lambertia formosa,151.14,-33.69,3.63,branch,,0.59,0.62,"Zanne (2007, unpublished)",,,4219.409282700430,
Leptospermum trinervium,151.14,-33.69,3.73,branch,,0.59,0.62,"Zanne (2007, unpublished)",,,5405.405405405410,
Persoonia levis,151.14,-33.69,3.60,branch,,0.59,0.62,"Zanne (2007, unpublished)",,,3984.063745019930,
Phyllota phylicoides,151.14,-33.69,3.12,branch,,0.59,0.62,"Zanne (2007, unpublished)",,,1314.060446780550,
Acacia havilandiorum,146.15,-32.97,2.76,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,571.428571428572,
Brachychiton populneus,146.15,-32.97,3.95,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,8849.557522123900,
Dodonaea viscosa,146.15,-32.97,3.45,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,2832.861189801700,
Eremophila longifolia,146.15,-32.97,3.55,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,3521.126760563390,
Geijera parviflora,146.15,-32.97,3.32,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,2092.050209205020,
Hakea tephrosperma,146.15,-32.97,3.28,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,1926.782273603080,
Philotheca difformis,146.15,-32.97,3.39,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,2450.980392156860,
Senna artemisioides,146.15,-32.97,3.27,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,1879.699248120300,
Acacia doratoxylon,146.15,-32.98,3.62,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,4149.377593361000,
Bertya cunninghamii,146.15,-32.98,3.28,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,1893.939393939400,
Beyeria opaca,146.15,-32.98,3.10,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,1270.648030495550,
Cassinia laevis,146.15,-32.98,3.19,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,1564.945226917060,
Eremophila glabra,146.15,-32.98,3.04,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,1104.972375690610,
Eucalyptus socialis,146.15,-32.98,3.47,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,2985.074626865680,
Melaleuca uncinata,146.15,-32.98,3.11,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,1293.661060802070,
Olearia pimelioides,146.15,-32.98,3.06,branch,,0.18,0.22,"Zanne (2007, unpublished)",,,1136.363636363640,
Eucalyptus globulus,147.68,-41.78,3.29,trunk,,0.50,0.47,Feikema et al. 2010,,,1960.749109797110,
Eucalyptus globulus,147.68,-41.78,3.25,trunk,,0.56,0.77,Feikema et al. 2010,,,1788.278413337670,
Eucalyptus globulus,143.58,-38.87,3.43,trunk,,,,Feikema et al. 2010,,,2721.352415604180,
Eucalyptus globulus,144.60,-38.58,3.54,trunk,,,,Feikema et al. 2010,,,3429.015988147810,
Eucalyptus globulus,148.32,-38.30,3.39,trunk,,,,Feikema et al. 2010,,,2465.364857726940,
Eucalyptus globulus,147.12,-37.28,3.43,trunk,,0.70,1.00,Feikema et al. 2010,,,2673.878055729780,
Eucalyptus globulus,144.48,-37.57,3.59,trunk,,,,Feikema et al. 2010,,,3932.769668931700,
Eucalyptus nitens,147.68,-41.78,3.23,trunk,,0.50,0.47,Feikema et al. 2010,,,1704.394647657700,
Eucalyptus nitens,147.68,-41.78,3.24,trunk,,0.56,0.77,Feikema et al. 2010,,,1746.531892977070,
Eucalyptus nitens,143.58,-38.87,3.37,trunk,,,,Feikema et al. 2010,,,2354.289943395800,
Eucalyptus nitens,148.32,-38.30,3.35,trunk,,,,Feikema et al. 2010,,,2215.152754514010,
Eucalyptus nitens,149.38,-37.38,3.51,trunk,,0.63,0.62,Feikema et al. 2010,,,3267.856397522310,
Eucalyptus nitens,147.12,-37.28,3.44,trunk,,0.70,1.00,Feikema et al. 2010,,,2729.117237516610,
